Date,Open,High,Low,Close,Volume
07/18/2023,290.15,295.26,286.01,293.34,112434703
07/17/2023,286.63,292.23,283.57,290.38,131569594
07/14/2023,277.01,285.30,276.31,281.38,120062398
07/13/2023,274.59,279.45,270.60,277.90,112681508
07/12/2023,276.33,276.52,271.46,271.99,95672141
07/11/2023,268.65,270.90,266.37,269.79,91972359
07/10/2023,276.47,277.52,265.10,269.61,119425398
07/07/2023,278.43,280.78,273.77,274.43,113879203
07/06/2023,27889.09,279.97,272.88,276.54,120707398
07/05/2023,278.82,283.85,277.60,282.48,131530891
07/03/2023,276.49,284.25,275.11,279.82,118999000
06/30/2023,260.60,264.45,259.89,261.77,112620797
06/29/2023,25823.03,260.74,253.61,257.50,131283406
06/28/2023,249.70,259.88,248.89,256.24,159770797
06/27/2023,243.24,250.39,240.85,250.21,164968188
06/26/2023,250.07,258.37,240.70,241.05,179990594
06/23/2023,259.29,262.45,252.80,256.60,177460797
06/22/2023,250.77,265.00,248.25,264.61,166875906
06/21/2023,275.13,276.99,257.78,9.46,211797109
06/20/2023,261.50,274.75,261.12,274.45,165611203
06/16/2023,258.92,263.60,257.21,260.54,167915594
06/15/2023,248.40,258.95,247.29,255.90,160171203
06/14/2023,260.17,261.57,250.50,256.79,170575500
06/13/2023,253.51,259.68,251.34,258.71,162384297
06/12/2023,247.94,250.97,244.59,249.83,150740500
06/09/2023,249.07,252.42,242.02,244.40,200242406
06/08/2023,224.22,235.23,223.01,234.86,164489703
06/07/2023,228.00,230.83,223.20,4.57,185710797
06/06/2023,216.14,221.91,212.53,221.31,146911594
06/05/2023,217.80,221.29,214.52,217.61,151143109
06/02/2023,210.15,217.25,209.75,213.97,164398406
06/01/2023,202.59,209.80,199.37,207.52,148029906
05/31/2023,199.78,203.95,195.12,203.93,150711703
05/30/2023,200.10,204.48,197.53,201.16,128818703
05/26/2023,184.62,198.60,184.53,193.17,162061500
05/25/2023,186.54,186.78,180.58,184.47,96870719
05/24/2023,182.23,184.22,178.22,182.90,137605109
05/23/2023,186.20,192.96,185.26,185.77,156952094
05/22/2023,180.70,189.32,180.11,188.87,132001406
05/19/2023,177.17,181.95,176.31,180.14,136196703
05/18/2023,174.22,177.06,172.45,176.89,109520305
05/17/2023,168.41,174.50,167.19,173.86,125473602
05/16/2023,165.65,169.52,164.35,166.52,98288789
05/15/2023,167.66,169.76,164.55,166.35,105592492
